,Name,Colour,Storage,Battery,Camera_Pixel,Selfie_cam_pixel,Display_size,Technology,RAM,Operating_system,Star_ratings,Users_rated,Price
0,OPPO A31,Mystery Black,128.0,4230.0,2,2,16.5,4.0,6.0,Android 9,4.2,57609.0,11990.0
1,OPPO A74 5G,Fantastic Purple,128.0,5000.0,48,48,16.5,5.0,6.0,Android 11,4.2,31067.0,14990.0
2,OPPO A74 5G,Fluid Black,128.0,5000.0,48,48,16.5,5.0,6.0,Android 11,4.2,31067.0,14990.0
3,OPPO K10 5G,Blue,128.0,5000.0,48,48,16.5,5.0,8.0,Android 12,4.1,343.0,19765.0
4,OPPO K10 5G,Midnight Black,128.0,5000.0,48,48,16.5,5.0,8.0,Android 12,4.1,343.0,19650.0
5,OPPO A15s,Fancy White,128.0,4230.0,13,13,16.5,4.0,4.0,Android 10,4.3,9339.0,10990.0
6,OPPO A15s,Dynamic Black,128.0,4230.0,13,13,16.5,4.0,4.0,Android 10,4.3,9339.0,10990.0
7,OPPO A15s,Fancy White,64.0,4230.0,13,13,16.5,4.0,4.0,Android 10,4.3,9339.0,9990.0
8,OPPO A15s,Rainbow Silver,64.0,4230.0,13,13,16.5,4.0,4.0,Android 10,4.3,9339.0,9990.0
9,OPPO F21s Pro,Dawnlight Gold,128.0,4500.0,64,64,16.3,5.0,8.0,Android 11,3.9,108.0,25999.0
10,OPPO F21 Pro,Sunset Orange,128.0,4500.0,64,64,16.3,2.0,8.0,Android 11,4.1,1931.0,21999.0
11,OPPO Reno7 Pro,Blue,256.0,4500.0,50,50,16.51,5.0,12.0,Android 11,4.1,301.0,34000.0
12,OPPO Reno7 Pro,Black,256.0,4500.0,50,50,16.51,5.0,12.0,Android 11,4.1,301.0,33500.0
13,OPPO A54,Black,64.0,5000.0,13,13,16.5,4.0,4.0,Android 10,4.2,9461.0,10990.0
14,Oppo A54,Gold,64.0,5000.0,13,13,16.5,4.0,4.0,Android 10,4.2,9461.0,10990.0
15,Oppo A54,Blue,64.0,5000.0,13,13,16.5,4.0,4.0,Android 10,4.2,9461.0,10399.0
16,Oppo A54,Blue,128.0,5000.0,13,13,16.5,4.0,4.0,Android 10,4.2,9461.0,11490.0
17,Oppo A54,Black,128.0,5000.0,13,13,16.5,4.0,4.0,Android 10,4.2,9461.0,11490.0
18,OPPO A77s,Black,128.0,5000.0,8,8,16.66,2.0,8.0,Android 12,3.9,4210.0,17999.0
19,OPPO A77s,Orange,128.0,5000.0,8,8,16.66,2.0,8.0,Android 12,3.9,3360.0,17999.0
20,OPPO F19 Pro,Space Silver,128.0,4310.0,48,48,16.3,5.0,8.0,Android 11,4.2,4368.0,20100.0
21,OPPO F19 Pro,['Space Silver'],128.0,4310.0,48,48,16.3,5.0,8.0,Android 11,4.2,4368.0,20100.0
